Timestamp: 0.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 134.00 sec, Peak Frequency: 233.49 Hz
Timestamp: 139.00 sec, Peak Frequency: 261.76 Hz
Timestamp: 140.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 141.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 142.00 sec, Peak Frequency: 328.37 Hz
Timestamp: 144.00 sec, Peak Frequency: 261.76 Hz
Timestamp: 145.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 148.00 sec, Peak Frequency: 261.08 Hz
Timestamp: 149.00 sec, Peak Frequency: 261.76 Hz
Timestamp: 150.00 sec, Peak Frequency: 261.08 Hz
Timestamp: 151.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 153.00 sec, Peak Frequency: 277.23 Hz
Timestamp: 155.00 sec, Peak Frequency: 293.38 Hz
Timestamp: 159.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 160.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 162.00 sec, Peak Frequency: 369.42 Hz
Timestamp: 163.00 sec, Peak Frequency: 369.42 Hz
Timestamp: 165.00 sec, Peak Frequency: 293.38 Hz
Timestamp: 167.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 168.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 169.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 170.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 171.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 172.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 173.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 175.00 sec, Peak Frequency: 232.82 Hz
Timestamp: 176.00 sec, Peak Frequency: 233.49 Hz
Timestamp: 177.00 sec, Peak Frequency: 293.38 Hz
Timestamp: 180.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 182.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 186.00 sec, Peak Frequency: 261.08 Hz
Timestamp: 188.00 sec, Peak Frequency: 261.08 Hz
Timestamp: 190.00 sec, Peak Frequency: 277.23 Hz
Timestamp: 191.00 sec, Peak Frequency: 293.38 Hz
Timestamp: 195.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 196.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 199.00 sec, Peak Frequency: 369.42 Hz
Timestamp: 200.00 sec, Peak Frequency: 369.42 Hz
Timestamp: 201.00 sec, Peak Frequency: 466.99 Hz
Timestamp: 202.00 sec, Peak Frequency: 233.49 Hz
Timestamp: 204.00 sec, Peak Frequency: 234.17 Hz
Timestamp: 205.00 sec, Peak Frequency: 234.17 Hz
Timestamp: 208.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 209.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 210.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 211.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 212.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 213.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 215.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 216.00 sec, Peak Frequency: 391.62 Hz
Timestamp: 217.00 sec, Peak Frequency: 391.62 Hz
Timestamp: 218.00 sec, Peak Frequency: 391.62 Hz
Timestamp: 224.00 sec, Peak Frequency: 278.58 Hz
Timestamp: 234.00 sec, Peak Frequency: 43.74 Hz
Timestamp: 240.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 241.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 242.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 243.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 257.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 264.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 265.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 266.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 267.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 268.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 269.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 270.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 271.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 278.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 279.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 280.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 281.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 282.00 sec, Peak Frequency: 43.74 Hz
Timestamp: 286.00 sec, Peak Frequency: 329.04 Hz
Timestamp: 288.00 sec, Peak Frequency: 349.90 Hz
Timestamp: 289.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 290.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 291.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 292.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 305.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 312.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 313.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 314.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 315.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 316.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 317.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 318.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 319.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 327.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 328.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 329.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 330.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 331.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 332.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 333.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 334.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 335.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 336.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 337.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 338.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 339.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 340.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 341.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 343.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 344.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 345.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 346.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 347.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 348.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 349.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 350.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 351.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 352.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 353.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 362.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 363.00 sec, Peak Frequency: 329.04 Hz
Timestamp: 364.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 365.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 366.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 367.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 368.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 369.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 370.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 371.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 372.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 373.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 374.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 375.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 376.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 377.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 384.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 386.00 sec, Peak Frequency: 349.90 Hz
Timestamp: 387.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 388.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 389.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 390.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 391.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 392.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 393.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 394.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 395.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 396.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 397.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 398.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 399.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 400.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 401.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 408.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 417.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 418.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 419.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 420.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 421.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 422.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 423.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 424.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 425.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 445.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 446.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 447.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 448.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 449.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 452.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 453.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 454.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 455.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 456.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 457.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 458.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 459.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 480.00 sec, Peak Frequency: 329.72 Hz
Timestamp: 481.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 482.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 483.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 484.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 485.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 486.00 sec, Peak Frequency: 329.04 Hz
Timestamp: 487.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 488.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 489.00 sec, Peak Frequency: 348.56 Hz
Timestamp: 490.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 491.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 504.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 509.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 510.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 511.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 512.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 513.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 514.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 515.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 516.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 517.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 526.00 sec, Peak Frequency: 329.04 Hz
Timestamp: 528.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 529.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 530.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 531.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 532.00 sec, Peak Frequency: 329.04 Hz
Timestamp: 533.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 534.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 535.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 536.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 537.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 538.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 539.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 540.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 552.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 558.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 559.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 560.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 562.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 563.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 564.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 565.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 568.00 sec, Peak Frequency: 295.40 Hz
Timestamp: 581.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 583.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 584.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 585.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 586.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 587.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 588.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 589.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 590.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 591.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 592.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 593.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 594.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 595.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 596.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 597.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 607.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 608.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 609.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 610.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 611.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 612.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 613.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 614.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 615.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 616.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 617.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 618.00 sec, Peak Frequency: 43.74 Hz
Timestamp: 624.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 625.00 sec, Peak Frequency: 349.90 Hz
Timestamp: 626.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 627.00 sec, Peak Frequency: 49.12 Hz
Timestamp: 639.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 640.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 641.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 648.00 sec, Peak Frequency: 220.04 Hz
Timestamp: 649.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 650.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 651.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 652.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 653.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 654.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 655.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 662.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 663.00 sec, Peak Frequency: 36.34 Hz
Timestamp: 664.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 665.00 sec, Peak Frequency: 37.01 Hz
Timestamp: 666.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 667.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 668.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 669.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 670.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 671.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 672.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 673.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 674.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 675.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 676.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 677.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 678.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 679.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 680.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 681.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 682.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 683.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 684.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 685.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 686.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 687.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 688.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 689.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 698.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 699.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 700.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 701.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 702.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 703.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 704.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 705.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 706.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 707.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 708.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 709.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 710.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 711.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 712.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 713.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 732.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 733.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 734.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 735.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 736.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 737.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 739.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 740.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 741.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 742.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 743.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 744.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 745.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 746.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 747.00 sec, Peak Frequency: 32.97 Hz
Timestamp: 761.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 762.00 sec, Peak Frequency: 28.93 Hz
Timestamp: 763.00 sec, Peak Frequency: 523.51 Hz
Timestamp: 764.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 765.00 sec, Peak Frequency: 439.40 Hz
Timestamp: 766.00 sec, Peak Frequency: 699.13 Hz
Timestamp: 767.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 768.00 sec, Peak Frequency: 523.51 Hz
Timestamp: 769.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 770.00 sec, Peak Frequency: 699.13 Hz
Timestamp: 771.00 sec, Peak Frequency: 349.23 Hz
Timestamp: 772.00 sec, Peak Frequency: 523.51 Hz
Timestamp: 773.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 774.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 775.00 sec, Peak Frequency: 699.13 Hz
Timestamp: 776.00 sec, Peak Frequency: 523.51 Hz
Timestamp: 777.00 sec, Peak Frequency: 883.51 Hz
Timestamp: 778.00 sec, Peak Frequency: 659.43 Hz
Timestamp: 779.00 sec, Peak Frequency: 122.47 Hz
Timestamp: 780.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 781.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 782.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 783.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 784.00 sec, Peak Frequency: 340.48 Hz
Timestamp: 785.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 786.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 787.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 788.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 789.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 790.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 791.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 792.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 793.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 794.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 795.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 796.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 797.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 798.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 799.00 sec, Peak Frequency: 339.81 Hz
Timestamp: 800.00 sec, Peak Frequency: 1,398.27 Hz
Timestamp: 801.00 sec, Peak Frequency: 765.08 Hz
Timestamp: 802.00 sec, Peak Frequency: 30.28 Hz
Timestamp: 803.00 sec, Peak Frequency: 30.28 Hz
